,,,,,
Type,ROM,RAM,Battery,RTC,Title
MBC5,2048,-,-,-,007_-_the_world_is_not_enough_(u)_[c][!]
MBC5,1024,-,-,-,102_dalmatians_-_puppies_to_the_rescue_(u)_[c][!]
MBC5,1024,-,-,-,102_dalmatiens_a_la_rescousse_(f)_[c][!]
MBC5,1024,-,-,-,102_dalmatiner_(g)_[c][!]
RUMBLE,1024,-,-,-,10-pin_bowling_(u)_[c][!]
MBC5,1024,-,-,-,1942_(u)_[c][!]
MBC1,128,-,-,-,2nd_space_(sachen_4-in-1_vol._6)_(unl)_[!]
MBC1,128,-,-,-,3_choume_no_tama_-_tama_and_friends_-_3_choume_obake_panic!!_(j)
MBC5,1024,-,-,-,3d_pocket_pool_(e)_(m6)_[c][!]
RUMBLE,512,8,Yes,-,3-d_ultra_pinball_-_thrillride_(u)_[c][!]
MBC1,128,-,-,-,4-in-1_funpak_(j)
MBC1,128,-,-,-,4-in-1_funpak_(ue)_[!]
MBC1,128,-,-,-,4-in-1_funpak_vol._ii_(ju)
MBC5,1024,8,Yes,-,4x4_world_trophy_(e)_(m5)_[c][!]
MBC5,1024,-,-,-,720_degrees_(u)_[c][!]
SACHEN,512,-,-,-,8-in-1_(sachen)_[c]
MBC1,256,-,-,-,ace_striker_(j)
MBC5,1024,-,-,-,action_man_-_search_for_base_x_(u)_[c][!]
MBC1,128,-,-,-,"addams_family,_the_(e)_(m3)_[!]"
MBC1,128,-,-,-,"addams_family,_the_(j)_[!]"
MBC1,128,-,-,-,"addams_family,_the_(u)"
MBC1,128,-,-,-,"addams_family,_the_-_pugsley's_scavenger_hunt_(u)"
MBC1,128,-,-,-,adventure_island_(u)
MBC1,256,-,-,-,adventure_island_ii_(ue)_[!]
MBC1,256,-,-,-,adventures_of_lolo_(u)_[s][!]
MBC1,64,-,-,-,"adventures_of_pinocchio,_the_(u)"
MBC1,128,-,-,-,"adventures_of_rocky_and_bullwinkle,_the_(beta1)"
MBC1,128,-,-,-,"adventures_of_rocky_and_bullwinkle,_the_(beta2)"
MBC1,128,-,-,-,"adventures_of_rocky_and_bullwinkle,_the_(u)"
MBC1,128,-,-,-,"adventures_of_star_saver,_the_(u)_[!]"
MBC5,1024,8,Yes,-,"adventures_of_the_smurfs,_the_(e)_(m6)_[c][!]"
